72,9668;71,8451;71,3092;72,0183;71,1272;71,7197;72,6295;70,2663;70,9688;70,7336;70,7886;72,2891;71,7574;71,4032;73,136;72,3473;70,8855;71,0507;70,8954;71,6679;70,2186;71,6566;69,7688;73,1773;72,7204;69,9919;72,2511;72,378;71,8872;72,501;70,631;72,7431;72,0705;72,317;71,6914;71,0233;72,2371;72,999;71,4688;72,9088;70,1254;71,7731;73,3522;72,7593;72,779;74,0186;70,5535
58,6813;59,2271;56,2723;57,7705;57,9246;57,3057;59,1078;58,3655;56,6482;55,7019;58,7323;58,4584;58,4709;57,779;57,3997;57,4351;55,9554;56,339;57,7706;57,7203;58,021;59,9652;58,5746;56,9557;56,7293;57,8959;59,036;56,9998;58,2192;56,9183;57,3601;57,0144;58,7449;57,5047;58,5496;57,0171;57,9024;58,2124;57,147;57,8144;55,261;57,8296;57,4467;57,3653;58,9002;56,4331;58,0017
79,6211;79,5669;79,3152;79,4619;80,1159;78,5892;79,3781;79,4433;79,2358;79,5683;80,5079;78,7052;82,0494;79,0932;78,6234;79,9919;80,4873;77,3805;78,3691;80,6905;80,745;79,0795;80,8185;79,5472;78,7627;78,5424;80,1467;77,5119;78,8675;78,729;79,1468;79,0133;79,6857;78,6535;78,4504;79,8032;78,2842;79,6142;79,3823;79,7261;80,2026;80,3983;80,24;80,2005;78,9176;79,3307;77,9247
79,476;79,625;81,5369;80,8088;80,4354;80,5693;80,8781;80,4937;82,7641;80,8867;79,6433;79,8325;81,0635;79,5658;80,9886;81,4192;81,8072;80,8418;79,9273;81,0278;82,5037;81,1593;79,9067;82,3655;78,815;80,1907;81,9476;81,0782;79,6668;81,4416;81,2372;78,9878;79,8582;80,82;79,4154;79,4223;81,0014;80,5467;80,7464;81,3834;79,6901;81,3993;78,1457;80,9496;80,4778;81,7261;80,919
62,4623;64,734;62,7956;64,6619;64,9305;62,8905;62,5874;62,726;65,0563;63,8971;63,4591;64,3249;63,2361;62,9037;66,0506;64,0069;64,0513;65,4696;62,1318;62,3783;64,0173;64,1121;62,3997;61,3238;63,3401;63,8229;64,3398;64,7286;64,0393;63,2082;63,8957;65,3764;64,6836;62,3647;63,4407;65,6351;64,4452;63,0853;63,7365;63,8471;64,2377;63,8783;65,0498;62,7415;64,877;62,3974;63,5376
75,1672;74,9916;75,5527;76,2027;73,9608;75,3;75,7829;75,7129;74,66;77,0817;75,5695;74,6578;74,9387;75,6422;75,8194;76,1604;75,4815;76,8661;75,2001;74,8645;75,3163;76,4124;75,4533;76,7058;76,3991;75,1986;75,0141;75,0232;76,8823;76,5441;76,473;74,9855;73,6682;75,7469;74,5303;75,9804;74,875;76,0407;74,9296;75,8748;75,6633;76,5695;76,3062;73,9383;74,1845;74,3133;74,5247
72,1161;71,1097;71,7444;71,4468;71,2571;71,1151;70,4242;70,9613;71,9146;71,0864;72,0739;72,3324;70,1799;70,499;71,4913;71,0205;71,9776;72,881;72,5539;70,9533;70,7;71,2969;71,1034;71,1871;71,4212;69,7895;70,813;71,6806;71,8874;72,5603;71,9987;72,0366;71,0073;73,0019;73,1601;70,3053;70,0536;71,9122;69,7975;72,4029;69,2904;71,136;70,8525;71,3149;69,8927;72,0699;72,8489
55,304;57,2491;54,564;53,7377;53,8583;54,3968;53,7501;55,0849;57,3755;56,2288;56,4783;54,8625;54,3974;55,4808;56,8164;54,5027;57,0255;57,9069;55,2865;56,1893;55,3679;54,4654;55,893;54,4874;55,3769;53,8534;54,6599;55,342;55,2077;54,9849;54,6365;55,8405;55,127;55,8301;53,6417;54,5388;55,8737;56,0855;55,9195;54,1755;55,4929;55,9307;53,6145;55,2467;54,0976;55,921;54,954
70,9931;73,546;74,7166;75,0195;73,2373;72,761;73,2612;75,5734;73,1683;73,7173;74,2311;74,2529;73,251;74,4178;73,6644;75,0861;73,7531;72,9708;73,5141;75,4629;73,9136;74,011;73,9892;73,6062;74,6027;74,8918;73,861;72,7166;73,6594;71,9533;72,3597;72,1616;75,144;73,8249;74,4247;72,8782;72,9927;72,7332;73,4024;75,3016;73,6895;73,2713;73,907;73,8962;71,314;74,7426;72,2948
70,0711;70,2169;69,4456;70,098;66,6721;70,1795;68,8995;70,6074;70,4762;68,9174;70,2604;69,5642;69,6944;71,7434;68,968;68,5691;69,4376;67,8748;69,1335;69,5176;69,705;67,5692;68,3002;69,2305;69,3936;68,2197;69,7163;67,9113;68,9566;70,8062;69,767;67,9955;69,035;69,6946;69,3532;68,954;68,2972;68,4751;67,8354;68,0016;69,5435;70,0044;67,2851;68,3454;68,686;71,2967;69,4046
