104,5;100,5
114,1;115,6
115;119
116,2;116,5
116,3;115,3
117;119,3
117,8;119
117,9;117
118;118,9
118;119,5
118;118,5
118,2;118,1
118,2;117,2
118,8;118,3
119;117
119;121
119;120
119;120
119,2;120,5
119,2;123
119,3;126
119,4;122,2
119,5;121,6
119,5;125
119,5;121
119,5;120
120;118
120;122,5
120;120,5
120;120
120;120
120;122
120;120
120;118
120;120
120;120,5
120;119,6
120;121
120,2;120,5
120,2;121,9
120,2;123
120,2;119
120,2;120
120,5;121,2
120,5;117,6
120,5;121,8
120,5;121,3
120,5;117
120,5;119,9
120,5;120
121;122
121;120,5
121;121
121;121
121;121,5
121;120
121;118
121;122,5
121,1;121,1
121,1;120,1
121,2;123,5
121,2;123
121,2;121,8
121,2;120,5
121,2;121,2
121,2;122,2
121,2;122,2
121,3;121,7
121,4;120,5
121,5;122
121,5;123
121,5;123
121,5;123,2
121,5;122
121,5;122,5
121,5;120,5
121,7;116,2
121,8;123,2
121,8;120,9
121,8;122
121,9;122
122;123,5
122;125
122;120,5
122;122,8
122;123
122;122
122;122,5
122;122
122;122
122;123
122;125,5
122;120,2
122;123
122,1;122
122,1;121,9
122,1;123,2
122,1;122,8
122,1;122,1
122,2;122
122,2;122,2
122,2;122,8
122,2;121
122,2;122
122,3;121,5
122,3;121,5
122,5;123,8
122,5;122,6
122,5;121,5
122,5;122,5
122,6;123,2
122,8;123,2
122,8;122,2
122,8;121,5
122,9;122,9
122,9;122,2
123;124,1
123;122
123;122
123;122
123;122
123;124
123;123,8
123;123,5
123;122
123;122
123;122
123;122,5
123;124,2
123;122,5
123;122,3
123;123,1
123,1;124
123,1;124
123,1;123,5
123,2;124
123,2;123
123,2;124,5
123,5;123,5
123,5;122
123,5;123
123,5;123,5
123,5;123
123,5;122,5
123,5;124,5
123,5;124
123,5;126
123,5;122,5
123,5;122,5
123,5;126
123,8;124
123,8;123,5
123,9;124,5
124;125
124;124,5
124;124,5
124;124
124;123,8
124;121,8
124;124
124;123
124;123,5
124;124
124;126
124;123
124;123
124;122,2
124;123,8
124;124
124;123,5
124,1;123,8
124,2;123,5
124,2;124,8
124,3;123
124,3;122
124,3;124,3
124,5;126,5
124,6;124
124,8;125
124,9;123,9
125;124,8
125;125,5
125;126
125;125
125;123
125;124
125;125
125;125
125;126
125;125,5
125;125
125;125,5
125;125
125;124,5
125,2;124,5
125,2;125,2
125,2;124,2
125,2;122,1
125,5;125,1
125,5;123
125,5;126
125,5;126
125,5;123
125,5;124
125,9;126,5
126;125,5
126;126
126,5;127,5
126,5;124
126,5;125
127;126
127;124
127,21;125,51
127,5;123
127,5;127,5
