71,7529;70,9928;71,6687;71,3631;72,9546;72,0743;71,7557;70,8171;72,3367;71,8546;71,9287;72,4569;72,2476;72,4251;71,6301;71,5458;71,4602;70,6888;71,9581;72,3089;71,949;72,9666;70,7383;71,3305;71,8793;71,2118;71,546;70,9275;72,2896;71,903
57,3239;59,053;59,9516;57,3785;58,4931;57,0958;58,963;57,0464;57,1741;57,1988;57,3322;59,5552;57,0008;59,5894;58,2091;59,1647;57,8816;57,3115;57,0859;57,622;57,4227;59,2201;57,5695;58,4138;57,746;57,5766;59,5828;57,6926;57,4689;57,8787
80,7048;78,8185;79,0612;78,1314;79,4972;79,6273;78,9183;79,122;78,8945;78,8519;80,0781;80,003;78,9648;80,2054;81,2224;79,7739;79,3178;79,1573;80,2313;79,7038;79,4097;78,9677;79,2194;80,656;79,8654;78,8955;78,1013;79,9975;79,7912;80,1115
79,8378;79,8022;79,5769;79,8881;81,4441;80,5871;79,6937;80,3347;80,6857;81,5415;80,4421;79,2732;79,7261;80,2668;79,2839;80,3997;80,6247;79,3268;80,8169;78,9139;80,4057;80,0947;81,2707;78,9103;81,0283;80,7121;81,4864;80,5862;79,3453;81,3953
62,7799;64,1622;62,1281;63,9396;65,0572;64,8347;63,3068;63,7629;63,7397;64,8275;64,6483;64,9714;64,5406;63,6509;62,027;63,1358;64,3232;65,3666;63,4224;63,2179;65,2779;62,7947;63,7764;64,1452;64,3204;64,0822;65,1876;63,7802;63,4887;63,979
75,8893;75,5918;75,8116;76,2251;77,3264;75,9679;75,2249;77,3596;76,3665;74,6958;74,6152;76,0846;76,1442;75,449;76,6352;74,1754;75,5284;77,0107;76,0912;75,6194;73,7076;75,1396;76,4551;73,7075;74,6963;75,9692;76,2861;75,4658;75,8528;76,0835
71,6932;70,4947;69,861;72,4294;71,1893;71,5693;70,7159;71,1246;70,947;71,8864;72,2653;71,9229;70,9806;71,1088;71,5113;70,8663;72,0666;70,8777;71,7972;70,4008;71,7748;70,8627;69,5995;71,1692;70,9913;72,2025;70,2345;71,5508;71,0982;72,2342
55,4925;55,7307;54,4948;54,956;53,976;55,3577;56,4621;56,0898;54,2752;54,8152;54,5789;55,2476;55,5814;55,5025;54,6398;55,7219;55,6077;55,2768;54,3267;56,5307;55,4775;55,4969;54,9414;55,8183;56,5314;55,448;55,4349;55,6032;54,9311;55,4624
72,3757;73,3006;74,0651;74,0725;72,6484;71,7337;72,9067;74,0124;73,0483;72,4397;72,8364;71,7697;74,188;72,7828;72,1835;72,4339;72,5852;73,353;73,7805;72,8148;73,3117;72,7625;72,4506;73,292;74,136;73,701;72,1227;74,3436;73,2114;73,5999
68,8706;68,8645;69,3161;68,9765;68,9459;70,721;69,4149;69,2288;69,3104;69,0443;69,6543;68,3579;69,068;68,4906;69,1692;70,7777;69,4883;70,2767;69,3662;68,3429;69,517;69,2653;69,7062;69,4112;70,2304;68,7153;69,1958;69,7772;67,6049;69,0055
79,0393;77,891;76,827;78,5601;78,5434;78,6246;78,4973;78,1228;77,8091;78,2036;78,0831;79,355;78,5713;77,4565;78,9509;77,6772;78,9269;77,2442;78,9479;77,466;76,9256;79,0397;78,0601;79,4653;78,0982;78,1819;78,3533;78,3126;77,6305;78,3097
56,9018;57,2516;55,0405;57,0853;56,6651;57,0714;56,5229;56,0223;55,9602;55,9583;56,8541;55,733;55,788;57,3471;56,734;56,4553;56,292;55,5425;54,787;56,7667;56,4496;55,9659;56,5547;57,0915;57,3408;55,7792;55,9748;56,2167;56,1583;55,8803
70,7926;72,224;72,8355;72,6752;71,1836;72,4963;73,0081;70,9745;72,8912;71,8464;73,1154;71,9288;70,7471;72,2016;70,8073;71,1225;72,7728;71,1001;71,1735;72,3581;72,2089;70,7107;71,6656;72,6478;72,666;71,2086;71,323;71,2155;71,2975;71,7409
77,3405;77,5615;76,8926;76,1412;76,4255;77,456;76,9213;77,3061;78,4392;76,9366;76,2232;76,2482;76,6901;77,599;77,9722;77,4685;78,7786;77,2613;77,5619;78,1793;77,2096;76,8187;77,0874;77,4922;78,4367;76,8668;77,4507;76,82;75,6843;77,1558
68,8284;69,4505;69,5007;67,6224;69,3742;69,2637;69,8418;68,0511;69,196;68,4003;70,7519;68,3721;69,8988;68,3101;69,2361;68,4474;68,4343;69,6001;68,9405;70,4019;68,6678;69,0294;68,7848;69,8327;68,9507;69,1107;69,3397;69,0191;68,2494;69,1893
