121,5;120
121,5;122
123,1;122,4
119;116
122;122
123;121,5
123;123,2
122,7;124,5
120;122
120;118,2
121;120,5
125;126,2
122,2;122,2
124,2;124,2
122,5;122,1
124;123,5
123,5;125,5
122,5;123,3
115,5;122,5
121,5;125
124,1;117
119,5;119,5
122,5;123,5
117,5;118,5
119,9;118,9
121,1;122,1
118;118,9
0;0
119,5;119,2
120;120
120;119,2
118,3;115,5
124,6;124,6
122,2;121,5
121,9;121,9
120,3;120,1
120,1;121
125;128,5
120;120
121;120,2
119;120
122;120,5
122,2;123
124,2;124,7
122,2;122,2
122,5;122,2
120,9;122
120,5;121
120,3;120
120,5;121,5
123,5;124
121,9;122,9
123,3;123,8
120,9;120
123,1;123,1
121,3;122,8
124,1;123,5
120;122,5
118,5;119,5
120,5;122,5
116,5;119
121,5;121
120,5;120
121,5;121,5
123;122,5
123,1;123
122,2;123,5
124;123
122,1;122,4
123;122,4
121,9;121,9
125,9;126,3
124,1;123,8
122,8;121,2
122,1;123
121;122,5
117,8;119,2
124,2;122,1
122,1;122,1
125,1;125,9
120;119,8
122;121,6
125,5;126
120;122
124;126
124,8;124
125,5;124,5
125;124
114,1;115
122,5;122
125;124,5
121;119
124,8;124,9
123,4;123,4
118;117
120,5;121
120;120
118,4;117,3
120,6;121,5
126,1;125,9
122;121,9
121,2;121,6
125;125
124,6;124
120;119,6
120;121
123,1;123,5
120,5;120
127,5;127,5
123,5;122,5
125;125,5
125,5;124
123,5;126
125;125
118;118,5
124;124
125;124,5
119;120
122,5;122,5
124;123,5
0;0
122,5;121,9
122,5;122
124,5;123,5
119;119
125;125
123,5;124,5
117;116,5
122;121,8
126;127
124,5;128
124,6;125
122,2;122,2
122,9;124,1
122,2;123,8
126,3;125
124,8;125,1
124,3;123,3
123;120,6
122,1;122,8
123,5;122,3
124,1;122,1
120,9;120,9
122,4;123,1
121,2;120,3
120,1;121,9
122,8;121,3
118,1;118,1
121,5;122,1
125;124,5
124;123,5
124;124,6
122,5;121,9
123,5;124,2
122,8;123
121;120
118,5;117,8
123,1;122,8
120,8;121,5
121,1;122,8
123,1;124
119;118
123;123,5
122,2;122,2
121,3;121,8
121,3;120,9
120,2;119,8
125,8;126,9
121,8;122,3
121,3;120,8
118,3;120
117,2;118,8
124,5;124
120,1;122
122,5;122,1
121;122,1
117,6;119,5
120,3;121
120,4;120,4
122,1;121
121;121
122,5;122,5
121,5;122,5
121;121
119;120,1
120;121,5
120,5;121,1
120,1;120
122;122,9
121,2;121,2
121,9;122,2
119;119
124,5;124
120,3;122
120,2;121,1
125,5;125,5
120,5;121
119,4;120
123,1;122,6
121,3;121,2
118;119,3
121;120
121,8;122,8
125;125
122,3;123,5
125;124,9
123;123,8
125,7;124,8
120,5;121
125;124,5
121,2;121
121,2;119,2
126,1;120
117,3;118,3
122;113,2
122,5;122,5
121,2;120
118,2;119,1
122,9;121
124;123,3
124;124
123,3;124
123,1;122
119,3;116,5
120,2;118,5
120;120
119;119,2
121;121
118,5;117
122;120
122,5;122,5
120;121,5
123,5;123,5
121,9;123
121;122
121;122
120,2;120
119;119
119;119,2
119;119,2
123;124
121,8;121
122;122
120,2;119
118,2;118
121,9;121,2
119,2;119,2
118,8;119
124,3;122
122,2;122
122,2;124,5
121;122
121;120
121,9;123
121,5;121
125,2;123
127;122
124,5;124
122,5;122
123;124
124,2;123,5
121,8;122,1
123,5;123,5
122,5;123
122;122,5
125;124
123,5;123,2
121,5;120,5
124;124,1
122,6;122,5
123,8;124,8
125,8;126
125;124,5
118,5;125,3
123,2;123,5
126;124,5
125,3;125,3
119,5;126,9
120,9;121,8
124;124
121;120,3
124,2;121,9
121,9;122,8
